86,600820.SH,20220526,5.78,6.03,5.73,5.97,3.4662,708087.92,5.91,6.08,5.78,5.48,5.14,59.6,8.79,0.58,1.37,crossOverSMA,https://gu.qq.com/sh600548/gp
87,002097.SZ,20220526,6.12,6.28,6.06,6.27,2.451,111912.02,6.2,6.42,6.12,5.82,4.92,41.03,10.09,0.49,1.24,crossOverSMA,https://gu.qq.com/sh600548/gp
88,000059.SZ,20220526,6.19,6.34,6.1,6.33,2.9268,156331.72,6.26,6.24,6.01,5.78,3.87,53.37,6.34,0.61,1.33,other,https://gu.qq.com/sh600548/gp
89,002010.SZ,20220526,6.21,6.32,6.08,6.29,1.1254,184239.22,6.23,6.31,6.1,5.88,3.57,50.19,5.64,0.63,0.79,other,https://gu.qq.com/sh600548/gp
90,002966.SZ,20220526,5.92,5.96,5.88,5.95,0.5068,143230.19,5.93,6.42,6.15,5.88,4.4,34.46,5.34,0.82,0.65,other,https://gu.qq.com/sh600548/gp
91,002533.SZ,20220526,6.46,6.62,6.31,6.55,1.7081,116273.2,6.49,6.64,6.12,5.6,8.47,58.77,9.98,0.85,1.12,other,https://gu.qq.com/sh600548/gp
92,002765.SZ,20220526,7.19,7.2,6.93,7.0,-2.6426,111463.62,7.04,7.37,6.3,5.23,17.03,61.76,18.44,0.92,0.53,other,https://gu.qq.com/sh600548/gp
93,600019.SH,20220526,6.34,6.41,6.25,6.39,0.9479,630822.8,6.35,6.51,6.25,5.98,4.3,45.77,7.46,0.58,0.74,other,https://gu.qq.com/sh600548/gp
94,600018.SH,20220526,6.23,6.33,6.19,6.3,1.1236,500296.33,6.27,6.35,6.08,5.8,4.56,58.4,5.53,0.82,1.02,other,https://gu.qq.com/sh600548/gp
95,600728.SH,20220526,6.17,6.29,6.04,6.28,2.6144,172469.17,6.2,6.44,6.06,5.67,6.35,44.25,8.81,0.72,0.85,other,https://gu.qq.com/sh600548/gp
96,600409.SH,20220526,6.79,7.08,6.67,7.0,3.0928,408631.76,6.92,6.91,6.42,5.94,7.58,52.17,12.5,0.61,1.01,other,https://gu.qq.com/sh600548/gp
97,600516.SH,20220526,6.96,7.06,6.78,7.03,1.2968,664818.36,6.96,7.21,6.89,6.57,4.7,40.28,7.89,0.6,0.88,other,https://gu.qq.com/sh600548/gp
98,002117.SZ,20220526,6.8521,6.9479,6.785,6.9,0.8403,58900.58,6.88,6.94,6.66,6.39,4.16,48.13,5.19,0.8,0.83,other,https://gu.qq.com/sh600548/gp
99,601985.SH,20220526,7.16,7.44,7.13,7.36,2.9371,1627702.08,7.31,7.23,7.07,6.91,2.25,53.09,4.99,0.45,1.12,other,https://gu.qq.com/sh600548/gp
100,601827.SH,20220526,6.87,6.91,6.8,6.9,0.5831,40888.18,6.87,6.95,6.71,6.46,3.7,46.22,4.97,0.74,0.82,other,https://gu.qq.com/sh600548/gp
101,600489.SH,20220526,7.1,7.16,7.06,7.14,0.1403,204696.13,7.12,7.21,7.06,6.91,2.12,40.72,5.68,0.37,0.64,other,https://gu.qq.com/sh600548/gp
102,000925.SZ,20220526,7.08,7.16,6.9,7.11,0.5658,75766.65,7.06,7.29,6.99,6.68,4.36,38.1,8.73,0.5,0.78,other,https://gu.qq.com/sh600548/gp
103,600997.SH,20220526,7.45,7.9,7.42,7.81,4.6917,428727.2,7.71,7.55,7.12,6.69,6.04,57.11,10.09,0.6,1.22,other,https://gu.qq.com/sh600548/gp
104,601669.SH,20220526,7.9,7.98,7.72,7.74,-0.129,2660737.47,7.81,7.8,7.38,6.96,5.73,59.24,7.15,0.8,1.01,other,https://gu.qq.com/sh600548/gp
105,600012.SH,20220526,7.35,7.51,7.34,7.5,2.459,72799.59,7.45,7.37,7.21,7.04,2.33,55.89,3.25,0.72,1.23,other,https://gu.qq.com/sh600548/gp
106,002054.SZ,20220526,7.64,7.64,7.34,7.58,0.2646,27731.77,7.52,7.69,7.26,6.84,5.87,48.33,7.21,0.81,0.79,other,https://gu.qq.com/sh600548/gp
107,600984.SH,20220526,7.39,8.03,7.32,7.74,5.8824,247983.45,7.7,7.72,7.24,6.76,6.57,52.17,8.55,0.77,1.8,other,https://gu.qq.com/sh600548/gp
108,600971.SH,20220526,7.44,7.72,7.41,7.62,2.973,384572.39,7.58,7.49,6.95,6.41,7.76,62.31,9.43,0.82,1.17,other,https://gu.qq.com/sh600548/gp
109,600556.SH,20220526,7.58,7.9,7.43,7.82,3.8513,401922.52,7.72,7.77,7.3,6.82,6.53,51.57,10.12,0.64,1.68,other,https://gu.qq.com/sh600548/gp
110,002092.SZ,20220526,7.42,7.64,7.26,7.56,2.1622,476822.22,7.49,7.61,7.37,7.13,3.28,41.09,8.49,0.39,0.92,other,https://gu.qq.com/sh600548/gp
111,600966.SH,20220526,7.28,7.33,7.01,7.29,0.9695,85830.93,7.21,7.83,7.28,6.74,7.49,37.65,10.86,0.69,1.24,other,https://gu.qq.com/sh600548/gp
112,601686.SH,20220526,7.5,7.64,7.44,7.61,1.1968,27442.57,7.56,7.97,7.43,6.88,7.37,44.41,9.64,0.76,0.66,other,https://gu.qq.com/sh600548/gp
113,601963.SH,20220526,7.65,7.73,7.61,7.73,1.178,52107.11,7.69,7.73,7.63,7.54,1.28,40.94,5.61,0.23,0.92,crossOverSMA,https://gu.qq.com/sh600548/gp
114,600737.SH,20220526,8.08,8.11,7.96,8.02,-1.353,391778.62,8.03,8.12,7.51,6.9,8.11,55.37,10.63,0.76,0.97,other,https://gu.qq.com/sh600548/gp
