ts_code,name,market,publisher,category,base_date,base_point,list_date
105860.MI,MSCI太平洋地区(除日本)价值自由,MSCI,MSCI,规模指数,19871231,100.0,
105861.MI,MSCI太平洋地区成长自由,MSCI,MSCI,规模指数,19871231,100.0,
105862.MI,MSCI太平洋地区价值自由,MSCI,MSCI,规模指数,19871231,100.0,
105863.MI,MSCI太平洋地区成长,MSCI,MSCI,成长指数,19741231,100.0,
105864.MI,MSCI太平洋地区价值,MSCI,MSCI,价值指数,19741231,100.0,
105865.MI,MSCI发达市场成长自由,MSCI,MSCI,规模指数,19871231,100.0,
105866.MI,MSCI发达市场价值自由,MSCI,MSCI,规模指数,19871231,100.0,
105867.MI,MSCI发达市场成长,MSCI,MSCI,成长指数,19741231,100.0,
105868.MI,MSCI发达市场价值,MSCI,MSCI,价值指数,19741231,100.0,
105869.MI,MSCI发达市场(除澳)成长,MSCI,MSCI,成长指数,19741231,100.0,
105870.MI,MSCI发达市场(除澳)价值,MSCI,MSCI,价值指数,19741231,100.0,
105871.MI,MSCI发达市场(除英国)成长,MSCI,MSCI,成长指数,19741231,100.0,
105872.MI,MSCI发达市场(除英国)价值,MSCI,MSCI,价值指数,19741231,100.0,
105873.MI,MSCI发达市场(除美国)成长,MSCI,MSCI,成长指数,19741231,100.0,
105874.MI,MSCI发达市场(除美国)价值,MSCI,MSCI,价值指数,19741231,100.0,
105880.MI,MSCI阿根廷成长,MSCI,MSCI,成长指数,,,
105881.MI,MSCI阿根廷价值,MSCI,MSCI,价值指数,,,
105882.MI,MSCI巴西成长,MSCI,MSCI,成长指数,19961231,100.0,
105883.MI,MSCI巴西价值,MSCI,MSCI,价值指数,19961231,100.0,
105884.MI,MSCI智利成长,MSCI,MSCI,成长指数,19961231,100.0,
105885.MI,MSCI智利价值,MSCI,MSCI,价值指数,19961231,100.0,
105890.MI,MSCI中国成长(美元),MSCI,MSCI,成长指数,19961231,100.0,
105890L.MI,MSCI中国成长(Local),MSCI,MSCI,成长指数,19961231,100.0,
105891.MI,MSCI中国价值(美元),MSCI,MSCI,价值指数,19961231,100.0,
105891L.MI,MSCI中国价值(Local),MSCI,MSCI,价值指数,19961231,100.0,
105892.MI,MSCI哥伦比亚成长,MSCI,MSCI,成长指数,19961231,100.0,
105893.MI,MSCI哥伦比亚价值,MSCI,MSCI,价值指数,19961231,100.0,
105894.MI,MSCI捷克共和国成长,MSCI,MSCI,成长指数,19961231,100.0,
105895.MI,MSCI捷克共和国价值,MSCI,MSCI,价值指数,19961231,100.0,
105896.MI,MSCI埃及成长,MSCI,MSCI,成长指数,19970930,100.0,
105897.MI,MSCI埃及价值,MSCI,MSCI,价值指数,19970930,100.0,
105898.MI,MSCI希腊成长,MSCI,MSCI,成长指数,19961231,100.0,
105899.MI,MSCI希腊价值,MSCI,MSCI,价值指数,19961231,100.0,
105900.MI,MSCI匈牙利成长,MSCI,MSCI,成长指数,19961231,100.0,
105901.MI,MSCI匈牙利价值,MSCI,MSCI,价值指数,19961231,100.0,
105902.MI,MSCI印度成长,MSCI,MSCI,成长指数,19961231,100.0,
105903.MI,MSCI印度价值,MSCI,MSCI,价值指数,19961231,100.0,
105904.MI,MSCI印度尼西亚成长,MSCI,MSCI,成长指数,19970530,100.0,
105905.MI,MSCI印度尼西亚价值,MSCI,MSCI,价值指数,19970530,100.0,
105912.MI,MSCI以色列成长,MSCI,MSCI,成长指数,19961231,100.0,
105913.MI,MSCI以色列价值,MSCI,MSCI,价值指数,19961231,100.0,
105918.MI,MSCI韩国成长,MSCI,MSCI,成长指数,19961231,100.0,
105919.MI,MSCI韩国价值,MSCI,MSCI,价值指数,19961231,100.0,
105926.MI,MSCI墨西哥成长,MSCI,MSCI,成长指数,19961231,100.0,
105927.MI,MSCI墨西哥价值,MSCI,MSCI,价值指数,19961231,100.0,
105928.MI,MSCI摩洛哥成长,MSCI,MSCI,成长指数,19970930,100.0,
105929.MI,MSCI摩洛哥价值,MSCI,MSCI,价值指数,19970930,100.0,
105930.MI,MSCI巴基斯坦成长,MSCI,MSCI,成长指数,,,
105931.MI,MSCI巴基斯坦价值,MSCI,MSCI,价值指数,,,
105932.MI,MSCI秘鲁成长,MSCI,MSCI,成长指数,19961231,100.0,
105933.MI,MSCI秘鲁价值,MSCI,MSCI,价值指数,19961231,100.0,
105934.MI,MSCI菲律宾成长,MSCI,MSCI,成长指数,19961231,100.0,
105935.MI,MSCI菲律宾价值,MSCI,MSCI,价值指数,19961231,100.0,
105938.MI,MSCI波兰成长,MSCI,MSCI,成长指数,19961231,100.0,
105939.MI,MSCI波兰价值,MSCI,MSCI,价值指数,19961231,100.0,
105940.MI,MSCI葡萄牙成长,MSCI,MSCI,成长指数,19961231,100.0,
105941.MI,MSCI葡萄牙价值,MSCI,MSCI,价值指数,19961231,100.0,
105942.MI,MSCI俄罗斯成长,MSCI,MSCI,成长指数,19961231,100.0,
105943.MI,MSCI俄罗斯价值,MSCI,MSCI,价值指数,19961231,100.0,
105944.MI,MSCI南非成长,MSCI,MSCI,成长指数,19961231,100.0,
105945.MI,MSCI南非价值,MSCI,MSCI,价值指数,19961231,100.0,
105950.MI,MSCI台湾成长,MSCI,MSCI,成长指数,19961231,100.0,
105951.MI,MSCI台湾价值,MSCI,MSCI,价值指数,19961231,100.0,
105952.MI,MSCI泰国成长,MSCI,MSCI,成长指数,19970530,100.0,
